trumpApprove,commonweight,birthyr,gender,race,hispanic,educ,region,age_bin,gender_bin,race_bin,educ_bin,party_id,inputstate
1,0.524046806973183,1957,2,1,2,2,3,45-64,Female,White,H.S. or less,2,13
0,0.468446819989701,1957,2,2,2,2,3,45-64,Female,Black,H.S. or less,1,37
1,1.27789287020257,1938,2,1,2,2,2,65+,Female,White,H.S. or less,2,18
1,11.8618372185743,1952,1,1,2,1,3,65+,Male,White,H.S. or less,3,40
1,1.20195291478042,1956,1,1,2,5,1,45-64,Male,White,College degree,2,9
0,0.865328711182355,1964,1,3,NA,3,4,45-64,Male,Hispanic,Some college,3,6
0,0.948288284602004,1950,2,1,2,6,1,65+,Female,White,Postgraduate,1,36
1,0.652171014329239,1958,1,1,2,5,4,45-64,Male,White,College degree,2,6
0,0.696700883847569,1997,1,4,2,5,4,18-29,Male,Asian,College degree,1,15
0,0.495563670050755,1957,2,2,2,3,3,45-64,Female,Black,Some college,1,51
0,0.896948248327365,1982,2,1,2,3,2,30-44,Female,White,Some college,4,39
0,0.665719969032748,1986,1,4,2,6,2,30-44,Male,Asian,Postgraduate,1,17
1,0.801740330878518,1948,1,1,2,4,3,65+,Male,White,Some college,3,24
1,1.1332622553009,1982,1,1,2,6,1,30-44,Male,White,Postgraduate,3,44
1,0.537623938086764,1958,1,1,2,5,2,45-64,Male,White,College degree,2,18
0,0.518339631158263,1951,1,1,2,5,2,65+,Male,White,College degree,1,46
0,0.497631927108087,1964,2,1,2,2,2,45-64,Female,White,H.S. or less,1,39
0,1.26289595215888,1954,2,1,2,5,4,65+,Female,White,College degree,1,41
1,0.922452743769109,1971,1,1,2,6,3,45-64,Male,White,Postgraduate,3,51
0,0.826086605421506,1989,2,1,2,5,4,30-44,Female,White,College degree,1,41
1,0.983845228711173,1960,2,1,2,3,3,45-64,Female,White,Some college,3,37
0,0.964340792556539,1960,2,1,2,3,1,45-64,Female,White,Some college,1,36
1,0.868056610765407,1965,2,1,2,5,4,45-64,Female,White,College degree,3,8
0,0.737671076238687,1958,2,1,2,3,4,45-64,Female,White,Some college,1,41
0,0.526852502679339,1987,2,1,2,6,1,30-44,Female,White,Postgraduate,1,36
1,1.12512121106354,1957,1,1,2,2,3,45-64,Male,White,H.S. or less,3,24
0,0.702287208172353,1965,2,1,2,5,4,45-64,Female,White,College degree,1,41
0,0.706597040713517,1961,1,1,2,4,4,45-64,Male,White,Some college,1,6
0,1.01424164716383,1946,2,1,2,6,4,65+,Female,White,Postgraduate,1,35
0,0.768057323886302,1941,1,1,2,5,4,65+,Male,White,College degree,1,53
1,1.61539040808164,1940,2,1,2,3,3,65+,Female,White,Some college,3,1
0,0.67390656715446,1951,1,1,2,2,4,65+,Male,White,H.S. or less,3,8
1,0.859600336628745,1953,2,1,2,6,1,65+,Female,White,Postgraduate,3,25
0,0.686704012226868,1985,1,3,NA,6,1,30-44,Male,Hispanic,Postgraduate,1,36
1,0.62994270097014,1957,2,1,2,2,3,45-64,Female,White,H.S. or less,2,51
0,0.443506398340688,1964,1,1,2,5,2,45-64,Male,White,College degree,3,18
1,1.22502577993891,1958,2,1,2,5,4,45-64,Female,White,College degree,4,8
0,0.44896635051124,1957,2,1,2,3,3,45-64,Female,White,Some college,1,54
1,0.899343593028266,1954,2,1,2,4,4,65+,Female,White,Some college,2,4
1,0.776785794798085,1990,1,1,2,5,1,30-44,Male,White,College degree,1,36
0,0.672372308004737,1941,1,1,2,6,2,65+,Male,White,Postgraduate,1,17
0,1.76449747720722,1954,1,1,2,3,3,65+,Male,White,Some college,1,1
1,0.825545242527052,1953,1,1,2,3,3,65+,Male,White,Some college,2,51
1,1.52768405879347,1948,1,1,2,5,3,65+,Male,White,College degree,3,28
0,0.911493028744527,1948,1,1,2,6,1,65+,Male,White,Postgraduate,1,36
0,0.380780727030371,1966,2,7,2,6,1,45-64,Female,Other,Postgraduate,1,36
0,0.950321272063907,1946,2,1,2,6,1,65+,Female,White,Postgraduate,1,23
1,1.28357108465945,1954,1,1,2,3,3,65+,Male,White,Some college,3,48
1,0.438150164134004,1979,1,1,2,5,1,30-44,Male,White,College degree,3,36
1,1.55884820509445,1944,2,1,2,5,2,65+,Female,White,College degree,2,17
0,0.313961239926825,1960,2,1,2,2,2,45-64,Female,White,H.S. or less,1,19
0,0.556003761065302,1959,2,1,2,6,2,45-64,Female,White,Postgraduate,1,18
1,1.64391942304324,1944,2,1,2,3,4,65+,Female,White,Some college,2,6
0,0.616716761642479,1948,1,1,2,3,3,65+,Male,White,Some college,1,12
0,0.794550349943579,1947,2,1,2,5,2,65+,Female,White,College degree,1,39
1,1.7300432910273,1952,2,1,2,4,2,65+,Female,White,Some college,3,17
0,0.986378791508067,1986,2,4,2,6,1,30-44,Female,Asian,Postgraduate,1,36
0,0.709755246526854,1951,1,1,2,2,2,65+,Male,White,H.S. or less,3,19
1,1.27374392026875,1936,2,1,2,2,4,65+,Female,White,H.S. or less,2,41
0,0.464587180617691,1964,2,1,2,3,2,45-64,Female,White,Some college,5,27
0,0.464177108911598,1946,1,1,2,5,3,65+,Male,White,College degree,3,1
1,1.12783937174997,1947,1,1,2,3,3,65+,Male,White,Some college,2,12
0,0.943589755337195,1945,2,1,2,2,4,65+,Female,White,H.S. or less,1,53
0,0.138191254537616,1950,1,7,2,6,2,65+,Male,Other,Postgraduate,3,55
0,0.617043921301608,1943,1,3,NA,3,3,65+,Male,Hispanic,Some college,1,12
1,0.800506684443546,1951,1,1,2,2,2,65+,Male,White,H.S. or less,2,17
1,0.91655314409149,1958,2,1,2,3,3,45-64,Female,White,Some college,2,12
0,0.60699021260313,1958,1,1,2,5,2,45-64,Male,White,College degree,3,17
0,0.77980685065905,1962,2,2,2,5,3,45-64,Female,Black,College degree,1,37
1,1.40243092091125,1945,2,1,2,5,2,65+,Female,White,College degree,2,17
0,0.82313892073134,1943,2,1,2,5,1,65+,Female,White,College degree,4,25
0,0.662010061345307,1940,2,1,2,5,3,65+,Female,White,College degree,1,12
0,0.706483274040759,1963,2,1,2,5,2,45-64,Female,White,College degree,1,19
1,1.89674119985717,1951,2,1,2,5,3,65+,Female,White,College degree,2,40
0,0.662010061345307,1954,2,1,2,5,3,65+,Female,White,College degree,1,12
0,1.10959322304935,1943,2,1,2,5,4,65+,Female,White,College degree,3,6
