year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,pctWhiteNH
2016,ARIZONA,AZ,COCONINO,04005,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,32404,59784,20220315,TOTAL,55.22277025167198
2016,ARIZONA,AZ,GILA,04007,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,7003,22312,20220315,TOTAL,65.85816370319235
2016,ARIZONA,AZ,GRAHAM,04009,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3301,12134,20220315,TOTAL,52.34551316496508
2016,ARIZONA,AZ,GREENLEE,04011,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1092,3270,20220315,TOTAL,48.05025482991584
2016,ARIZONA,AZ,LA PAZ,04012,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1575,5951,20220315,TOTAL,62.73610229879447
2016,ARIZONA,AZ,MARICOPA,04013,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,702907,1567834,20220315,TOTAL,58.68447312461211
2016,ARIZONA,AZ,MOHAVE,04015,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,17455,79943,20220315,TOTAL,79.61495808897725
2016,ARIZONA,AZ,NAVAJO,04017,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,16459,40294,20220315,TOTAL,43.91013411013597
2016,ARIZONA,AZ,PIMA,04019,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,224661,421640,20220315,TOTAL,55.26068004198873
2016,ARIZONA,AZ,PINAL,04021,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,47892,129546,20220315,TOTAL,58.67578571998829
2016,ARIZONA,AZ,SANTA CRUZ,04023,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,11690,16433,20220315,TOTAL,15.95107549557149
2016,ARIZONA,AZ,YAVAPAI,04025,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,35590,114450,20220315,TOTAL,81.9625366648818
2016,ARIZONA,AZ,YUMA,04027,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,24605,53010,20220315,TOTAL,35.26010084239672
2016,ARKANSAS,AR,ARKANSAS,05001,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1939,6212,20220315,TOTAL,71.03948682896052
2016,ARKANSAS,AR,ASHLEY,05003,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2408,8083,20220315,TOTAL,68.18743421955796
2016,ARKANSAS,AR,BAXTER,05005,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4169,19766,20220315,TOTAL,95.96271047623635
2016,ARKANSAS,AR,BENTON,05007,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,28005,96824,20220315,TOTAL,76.6268032294354
2016,ARKANSAS,AR,BOONE,05009,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2926,16111,20220315,TOTAL,95.21990082107146
2016,ARKANSAS,AR,BRADLEY,05011,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1317,3653,20220315,TOTAL,58.01181786583246
2016,ARKANSAS,AR,CALHOUN,05013,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,639,2269,20220315,TOTAL,73.37928464977645
2016,ARKANSAS,AR,CARROLL,05015,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3342,10758,20220315,TOTAL,84.02681629381331
2016,ARKANSAS,AR,CHICOT,05017,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2350,4176,20220315,TOTAL,40.347457627118644
2016,ARKANSAS,AR,CLARK,05019,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3620,8526,20220315,TOTAL,70.35007610350075
2016,ARKANSAS,AR,CLAY,05021,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1199,5200,20220315,TOTAL,96.85382080457626
2016,ARKANSAS,AR,CLEBURNE,05023,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2101,12085,20220315,TOTAL,95.8567577974586
2016,ARKANSAS,AR,CLEVELAND,05025,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,723,3354,20220315,TOTAL,85.09609851536425
2016,ARKANSAS,AR,COLUMBIA,05027,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3140,8887,20220315,TOTAL,59.24160964483545
2016,ARKANSAS,AR,CONWAY,05029,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2656,7927,20220315,TOTAL,82.41902881586988
2016,ARKANSAS,AR,CRAIGHEAD,05031,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,10538,35573,20220315,TOTAL,79.59105378306357
2016,ARKANSAS,AR,CRAWFORD,05033,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4488,22450,20220315,TOTAL,86.79860528184929
2016,ARKANSAS,AR,CRITTENDEN,05035,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,8410,15952,20220315,TOTAL,45.23987269655416
2016,ARKANSAS,AR,CROSS,05037,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1999,6874,20220315,TOTAL,74.66703973139339
2016,ARKANSAS,AR,DALLAS,05039,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1165,2771,20220315,TOTAL,54.1276490882208
2016,ARKANSAS,AR,DESHA,05041,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2228,4257,20220315,TOTAL,46.76353013530135
